;sum_click;code_module;code_presentation;gender;region;highest_education;age_band;studied_credits
4491;1032;5;3;2;5;4;2;60
4494;259;7;4;1;6;2;2;30
4496;581;2;2;1;8;2;2;210
4497;556;6;1;2;7;2;1;90
4498;775;2;1;1;1;3;1;60
4499;276;6;3;2;8;3;1;60
4500;614;4;2;1;7;3;1;60
4501;541;2;2;1;12;4;1;60
4502;484;2;1;1;4;2;1;60
4503;312;2;2;1;13;2;1;60
4505;325;6;1;2;1;4;2;150
4506;221;7;2;1;1;3;1;30
4507;814;4;2;1;3;3;1;60
4508;222;2;1;1;2;4;1;60
4509;422;3;4;1;13;3;2;120
4510;597;4;4;2;12;4;1;60
4514;174;4;3;2;8;3;1;60
4516;142;2;3;1;5;2;2;130
4518;334;5;2;1;2;3;1;60
4519;1090;6;1;2;12;2;1;60
4520;558;6;2;2;12;3;1;120
4521;772;4;2;2;13;3;1;120
4522;716;2;2;1;13;3;2;60
4523;1854;6;1;2;10;2;2;60
4525;1815;6;4;1;7;1;1;60
4526;784;4;2;1;8;3;1;60
4528;1004;6;1;2;13;3;2;60
4530;118;7;3;1;10;2;1;30
4531;1773;3;4;2;4;3;1;60
4532;1773;5;2;2;4;3;1;60
4536;149;2;1;2;4;3;2;120
4538;301;2;1;1;2;2;2;60
4539;250;2;1;1;5;2;1;60
4540;475;5;4;1;13;3;1;60
4541;219;7;3;1;5;2;1;30
4543;477;2;1;1;7;3;1;60
4545;492;4;2;2;8;4;2;60
4546;560;2;1;1;11;3;1;120
4547;227;2;2;1;5;2;2;60
4551;1304;3;3;2;10;4;2;60
4552;1304;4;1;2;10;4;1;60
4553;216;4;2;2;8;4;2;60
4554;424;3;3;2;8;2;1;30
4555;407;4;3;2;2;4;2;60
4556;86;7;2;1;13;2;1;30
4558;1694;6;1;2;7;3;1;70
4559;285;2;1;1;8;3;1;60
4563;171;2;3;1;9;3;1;120
4568;1563;3;4;2;13;3;2;30
4570;1139;4;1;1;12;3;1;60
4571;153;7;2;2;3;2;2;30
4572;541;6;1;2;13;3;2;60
4573;863;4;1;1;8;3;1;120
4574;519;2;1;1;1;3;1;60
4575;427;2;4;1;6;4;2;60
4576;250;2;1;1;3;2;2;120
4578;510;5;3;2;4;3;1;30
4579;250;4;2;2;6;4;1;120
4580;1221;6;4;2;3;3;1;60
4582;327;5;4;2;5;3;1;60
4586;250;5;2;2;5;3;1;30
4587;309;5;4;2;1;2;1;60
4588;379;6;1;2;8;2;1;90
4589;1404;4;2;1;8;2;2;60
4593;805;6;1;1;7;3;1;60
4595;624;3;3;2;1;2;1;60
4596;161;2;2;1;6;2;1;90
4597;122;5;2;2;8;3;1;30
4598;92;2;1;1;5;2;1;60
4599;1000;6;1;1;3;2;2;60
4603;576;6;4;2;13;4;1;60
4604;150;2;2;2;2;3;1;75
4605;204;2;1;2;5;3;2;60
4608;113;2;1;1;8;4;2;120
4609;74;2;2;1;4;3;1;60
4610;1464;6;3;1;9;2;2;60
4611;652;4;1;1;9;4;2;60
4613;434;4;2;2;4;2;1;60
4616;255;2;3;1;3;3;1;120
4617;956;6;4;2;13;1;2;60
4618;619;2;1;1;7;3;1;60
4619;387;2;1;1;1;2;1;120
4621;937;5;2;1;3;3;1;120
4622;329;2;1;1;13;4;1;60
4624;332;5;4;2;6;3;1;60
4625;169;4;4;1;12;2;1;60
4626;560;4;4;1;4;3;2;60
4627;907;4;4;1;2;3;2;60
4628;578;2;1;1;3;2;2;135
4630;216;3;3;2;4;3;1;90
4633;285;2;4;1;3;2;1;60
4635;1080;6;3;1;7;2;2;60
4636;266;2;3;1;6;4;1;60
4639;156;2;3;1;6;2;1;60
4640;184;2;4;1;9;2;2;60
4641;341;3;4;2;7;4;1;60
4643;148;2;2;1;11;2;2;120
4648;1024;5;2;2;1;2;2;30
4651;390;1;4;1;12;3;1;120
4652;723;3;4;1;2;3;1;60
4653;723;5;4;1;2;3;1;60
4655;719;6;1;2;13;3;1;120
4656;202;2;2;1;13;1;1;120
4659;139;7;2;1;8;3;1;90
4660;670;6;1;1;7;3;1;60
4667;333;4;3;1;13;3;1;130
4668;1198;3;4;1;9;2;1;90
4669;1198;6;3;1;9;2;1;60
4671;277;2;4;1;12;3;1;60
4673;314;2;2;1;11;3;1;60
4675;466;2;2;1;10;3;2;120
4676;417;4;2;1;10;3;1;60
4677;110;3;4;1;2;4;2;60
4678;1192;6;1;1;13;3;2;90
4679;386;3;3;1;13;1;1;60
4681;462;2;4;1;8;3;2;60
4686;1570;6;4;1;10;3;2;60
4687;439;6;1;1;4;2;1;90
4690;264;1;4;1;10;3;1;120
4691;197;2;1;1;12;3;2;60
4692;929;6;1;2;9;3;1;90
4694;381;2;2;1;6;2;2;60
4695;281;2;3;1;10;2;1;195
4697;648;2;3;1;7;2;2;60
4698;474;4;4;1;8;3;1;60
4700;1053;3;3;2;2;4;1;90
4701;1053;6;3;2;2;4;1;90
4702;672;3;3;1;2;3;1;60
4703;672;5;2;1;2;3;1;60
4704;235;4;4;2;11;2;1;120
4705;70;7;3;1;10;2;1;30
4706;678;4;2;1;5;3;1;120
4708;1226;6;1;2;12;3;1;60
4709;414;2;2;1;6;3;2;60
4712;465;5;2;2;2;4;2;30
4714;976;3;3;1;13;3;1;30
4718;183;2;2;1;12;3;1;60
4719;489;4;1;2;9;3;1;60
4720;499;6;1;2;1;2;1;60
4722;644;6;3;1;7;4;1;90
4723;477;4;2;1;2;3;1;90
4724;648;6;2;2;11;3;1;90
4725;883;5;2;2;2;4;2;60
4726;187;5;2;2;11;3;1;60
4728;359;5;3;2;1;2;1;30
4730;412;1;4;1;1;4;1;120
4732;94;2;2;1;1;2;1;60
4733;364;6;1;1;4;3;1;60
4734;428;4;3;2;12;3;1;60
4735;489;6;4;2;12;3;1;120
4736;122;7;3;2;10;2;1;30
4737;1017;4;4;2;4;2;1;60
4740;99;2;2;1;13;3;1;60
4741;683;6;2;2;9;2;1;60
4743;633;4;2;1;9;3;2;60
4744;192;5;2;2;10;3;1;60
4745;234;6;2;2;8;3;1;60
4749;364;5;3;1;3;3;1;60
4751;705;4;2;2;4;3;1;150
4752;293;4;2;2;1;3;1;60
4754;343;6;4;2;2;2;1;120
4755;634;2;3;1;1;3;1;120
4756;512;2;3;1;4;3;1;180
4761;116;7;3;2;5;2;1;60
4762;1070;3;4;2;6;4;1;60
4763;1070;6;3;2;6;4;1;60
4764;183;2;2;1;2;4;2;60
4767;210;2;3;2;1;3;1;180
4770;807;5;2;2;11;3;1;30
4772;234;5;2;2;11;3;1;60
4774;298;6;1;2;3;3;1;90
4775;320;2;2;1;6;2;1;60
4776;603;4;1;1;13;4;1;120
4779;166;2;2;1;12;3;1;60
4783;1612;6;2;2;1;2;2;60
4785;280;2;2;1;1;2;1;60
4786;212;3;3;2;7;2;1;90
4787;98;7;3;1;4;2;2;30
4789;720;6;3;2;11;4;1;60
4795;209;2;1;1;4;3;1;60
4796;214;1;4;2;10;3;2;60
4798;1614;6;2;2;2;2;1;60
4800;489;4;2;1;11;3;2;60
4801;208;7;2;1;1;2;1;30
4802;211;2;1;1;8;2;1;60
4805;307;4;2;1;5;2;1;120
4806;244;6;1;2;5;3;1;60
4807;714;1;2;1;10;3;1;60
4809;185;4;3;1;7;3;1;60
4810;396;6;2;2;8;3;1;150
4811;161;7;2;1;11;3;2;30
4812;107;2;2;2;5;3;1;120
4813;440;3;3;2;4;2;2;60
4816;412;3;3;2;8;3;1;90
4817;456;3;3;2;1;2;1;75
4818;456;5;2;2;1;2;1;85
4819;872;6;1;1;1;4;1;60
4823;995;6;1;2;12;3;1;60
4824;275;3;3;2;4;3;2;60
4832;137;2;3;1;2;2;1;60
4833;111;3;4;2;4;2;1;30
4836;333;6;2;2;5;1;1;60
4838;1086;6;2;2;8;4;2;100
4839;159;2;1;1;8;2;1;60
4841;409;4;4;2;10;3;1;60
4845;315;2;2;1;12;3;2;60
4848;837;5;2;2;12;2;1;60
4850;684;6;1;2;6;3;2;60
4854;570;4;1;2;5;2;2;60
4855;512;4;1;1;10;3;1;60
4857;769;6;4;2;5;3;1;60
4859;489;5;4;2;13;3;1;30
4861;273;2;4;2;8;3;1;60
4866;157;5;2;2;12;2;1;30
4867;762;6;2;2;5;3;1;60
4868;1158;6;1;2;1;2;2;90
4869;125;5;4;2;11;3;1;60
4872;176;5;2;2;3;4;1;60
4874;524;6;4;2;3;2;1;90
4876;303;4;1;2;8;3;1;60
4878;1560;4;2;2;6;2;2;60
4881;487;6;4;2;2;2;1;90
4882;907;6;3;2;3;2;2;120
4883;443;4;3;2;3;2;1;60
4884;491;2;2;1;1;3;2;120
4885;198;2;1;1;8;3;1;120
4887;208;2;2;1;13;2;2;60
4889;408;4;1;1;10;3;1;60
4890;284;5;3;1;5;3;1;30
4892;154;4;4;2;4;2;1;60
4893;722;4;4;2;12;2;1;60
4897;216;2;4;1;10;2;1;90
4899;587;4;1;1;12;3;1;60
4900;440;4;2;1;10;3;1;60
4901;200;2;2;1;2;3;1;60
4902;503;4;2;1;2;4;1;60
4903;453;6;2;2;10;2;1;120
4905;126;3;3;2;10;3;1;60
4906;136;7;3;1;12;2;1;30
4908;64;2;4;1;1;3;1;60
4914;585;4;2;1;5;3;2;60
4915;203;3;4;2;10;2;1;90
4918;109;2;2;1;8;2;1;60
4919;453;2;4;1;5;2;1;60
4920;258;2;2;1;8;3;1;60
4922;1037;6;2;2;11;2;1;60
4923;109;2;3;1;2;3;1;60
4927;429;6;3;1;8;3;1;120
4928;192;7;2;1;8;3;1;30
4931;466;6;4;2;8;3;1;120
4935;623;5;2;2;13;3;1;90
4936;174;2;1;1;3;2;2;60
4937;66;2;1;1;4;3;1;135
4940;603;5;2;2;1;3;1;60
4943;127;2;1;1;3;2;1;60
4945;695;5;2;2;1;3;1;30
4947;335;7;2;1;5;2;2;30
4948;275;2;2;1;10;3;2;60
4949;550;5;4;2;13;3;2;90
4950;267;2;1;1;3;2;2;60
4952;992;6;1;2;12;3;1;90
4953;508;4;1;1;3;3;1;60
4957;348;5;3;2;2;4;1;60
4958;351;6;3;2;10;3;1;60
4959;1041;6;1;1;13;2;1;60
4961;312;6;2;2;11;3;1;180
4963;278;6;1;2;13;2;1;120
4964;1676;4;1;2;3;3;1;80
4965;650;4;2;2;1;2;2;60
4968;203;2;1;1;13;3;1;60
4969;453;2;2;1;6;4;1;120
4971;509;6;3;1;13;3;1;120
4978;1556;3;3;1;2;3;1;60
4979;1556;4;1;1;2;3;1;60
4980;301;2;2;1;13;3;1;120
4982;57;2;2;1;8;3;1;60
4985;272;7;2;2;4;2;1;30
4986;195;1;2;2;4;4;1;120
4988;326;3;3;2;5;2;1;60
4989;810;5;4;2;9;4;1;60
4990;427;3;4;1;1;2;1;30
4991;313;2;2;1;8;2;1;120
4992;594;4;4;2;7;2;1;60
4993;51;2;2;1;3;3;1;60
4996;414;4;4;2;10;2;1;60
4998;135;2;2;2;1;3;1;120
4999;996;4;1;2;13;3;1;60
5001;156;2;1;2;8;3;2;60
5003;377;2;2;1;2;2;2;60
5004;785;4;4;2;4;2;2;60
5005;477;5;2;2;11;3;1;60
5008;202;7;3;1;4;2;2;30
5009;213;2;1;1;13;3;1;60
5012;450;5;3;2;1;2;1;60
5016;217;2;1;1;4;2;2;60
5019;123;3;4;2;12;3;1;60
5020;213;2;4;2;7;3;1;60
5021;104;2;2;1;5;2;1;60
5022;553;6;1;2;7;3;1;60
5023;946;6;1;1;13;2;1;60
5029;351;4;1;1;4;3;1;120
5030;997;4;1;1;13;4;1;80
5033;521;2;2;1;12;1;1;120
5035;624;3;4;2;8;3;1;150
5036;605;4;4;2;8;2;2;60
5037;234;7;3;1;3;2;1;90
5038;548;2;4;1;11;2;2;60
5039;548;7;2;1;11;2;2;30
5041;247;2;4;2;4;2;1;60
5042;69;2;1;1;8;3;2;60
5043;1051;2;2;1;8;2;2;60
5044;693;6;1;2;1;2;1;120
5045;84;7;2;1;13;3;1;30
5046;1047;6;1;2;1;3;1;60
5050;329;7;2;1;11;3;1;30
5051;70;2;1;1;5;2;1;60
5054;530;6;1;2;8;3;1;60
5055;612;6;4;2;9;3;1;60
5056;105;2;1;1;12;3;1;90
5059;383;5;3;2;1;3;1;30
5061;222;4;2;1;5;3;1;120
5062;514;2;1;1;7;2;1;150
5068;537;6;3;2;8;3;1;60
5069;1219;6;2;1;8;3;2;90
5071;664;2;1;1;5;4;2;60
5072;317;2;1;1;1;2;1;60
5075;295;3;4;2;7;4;1;60
5076;1394;6;3;2;3;3;1;120
5077;1126;6;1;1;1;2;2;60
5078;563;2;1;1;1;3;1;60
5079;179;4;1;1;2;3;1;70
5082;1010;6;4;2;9;3;1;120
5084;741;3;4;1;1;4;1;90
5085;544;4;1;2;2;4;1;60
5086;1567;6;1;2;10;2;2;60
5094;145;2;2;1;13;3;1;120
5095;775;4;2;1;12;2;1;60
5096;1081;3;4;2;1;3;1;120
5098;476;4;1;1;8;3;2;60
5100;315;1;2;2;3;4;2;60
5105;91;2;1;1;11;2;1;60
5107;204;7;2;1;13;2;1;30
5108;191;2;1;1;5;2;1;60
5109;551;4;1;2;5;3;1;120
5111;128;7;4;1;4;3;2;30
5112;170;4;1;1;10;3;1;180
5114;698;2;1;1;12;3;2;60
5115;242;2;1;1;10;3;1;60
5117;951;5;2;2;11;3;2;60
5118;348;3;4;2;5;3;1;60
5119;113;7;2;1;13;3;1;30
5121;219;2;1;1;7;3;1;60
5122;498;4;1;2;2;3;1;60
5123;741;6;2;2;8;2;2;60
5125;393;3;4;1;10;3;1;120
5127;190;2;4;1;13;3;2;60
5128;2116;3;4;2;7;3;1;150
5129;2116;6;3;2;7;3;1;120
5130;284;2;4;1;12;3;1;60
5132;118;5;2;1;10;3;1;60
5133;254;2;1;1;7;2;2;60
5134;1501;6;1;2;1;2;1;60
5136;208;2;2;1;13;2;2;180
5138;846;6;4;2;5;2;1;60
5139;84;7;2;1;5;3;2;30
5140;116;1;4;2;4;3;1;120
5141;662;4;1;1;9;3;1;120
5143;903;5;2;2;2;3;1;60
5144;1281;6;1;2;5;2;1;60
5146;285;4;2;2;8;2;1;60
5152;509;4;1;1;10;2;1;60
5157;248;2;2;1;13;2;2;60
5159;400;6;4;2;1;3;1;120
5161;923;6;1;2;1;2;1;60
5163;376;2;2;1;2;4;1;120
5165;148;7;2;1;8;4;1;60
5166;701;4;1;1;13;4;1;60
5167;515;6;2;2;1;3;1;60
5168;195;5;2;2;1;4;2;30
5170;339;2;1;1;1;2;1;60
5171;1111;2;1;1;9;3;1;60
5172;200;2;1;1;4;2;1;60
5174;294;2;3;1;10;2;2;60
5177;567;4;1;2;9;2;1;120
5183;834;6;2;1;6;2;1;60
5184;955;2;1;1;8;3;1;60
5186;839;6;4;2;8;2;1;60
5187;513;4;3;2;9;3;1;60
5188;222;3;4;1;9;2;1;30
5191;211;7;3;2;8;2;1;30
5193;884;4;2;2;13;4;1;90
5195;757;6;2;2;3;2;2;60
5196;141;7;4;1;10;2;1;30
5201;915;5;2;2;11;3;2;30
5203;477;4;1;1;8;3;1;60
5205;1231;4;3;2;3;3;2;60
5206;1231;5;4;2;3;3;2;60
5207;884;6;4;1;11;2;1;60
5211;580;4;1;1;7;3;1;120
5212;59;7;3;1;8;2;1;30
5215;270;3;4;2;6;3;1;60
5217;376;5;2;2;1;3;1;60
5218;206;2;1;1;10;3;2;60
5219;470;3;3;2;3;3;2;30
5222;232;4;4;2;5;2;1;60
5223;744;4;2;1;4;3;1;90
5226;436;5;4;1;7;2;1;60
5227;1247;3;3;2;8;4;2;60
5228;1247;4;1;2;8;4;2;60
5229;140;2;1;1;5;4;1;90
5230;480;4;2;2;4;2;1;90
5233;574;2;1;1;7;3;2;60
5235;92;7;3;2;1;4;2;30
5238;586;3;4;1;10;3;2;60
5239;647;2;4;1;4;3;2;60
5243;381;3;3;2;12;3;2;60
5247;455;5;3;2;13;2;2;60
5248;334;6;3;1;12;3;1;60
5250;254;4;2;1;4;2;1;60
5251;873;4;1;1;7;2;1;60
5256;542;6;3;2;1;3;1;60
5258;371;2;2;1;10;2;2;60
5259;931;6;2;2;13;3;2;120
5261;376;4;1;1;10;2;1;60
5263;872;3;4;1;2;3;1;30
5265;418;6;2;2;11;3;2;60
5266;645;4;1;2;4;2;1;60
5267;491;2;1;1;4;3;1;60
5271;173;7;2;1;11;2;2;30
5273;264;3;4;2;5;4;2;120
5275;597;6;2;2;4;2;2;60
5276;926;3;4;2;13;2;2;60
5277;352;2;2;1;9;2;1;60
5282;667;1;4;1;12;3;1;60
5283;382;4;1;1;1;3;1;60
5288;201;5;3;2;2;4;1;90
5290;1460;6;2;1;5;2;1;120
5291;277;2;1;1;3;2;2;75
5292;804;6;2;2;2;3;1;60
5293;1261;6;1;1;4;2;1;60
5294;540;6;1;2;12;2;1;60
5297;1437;4;2;1;13;3;1;60
5298;380;4;4;1;2;3;1;60
5300;338;6;2;1;3;3;1;60
5302;412;3;4;2;13;3;1;150
5304;595;5;2;2;3;2;1;30
5305;373;4;2;1;3;4;2;60
5306;551;5;2;2;2;4;2;60
5309;253;4;4;1;8;3;1;60
5310;549;2;4;2;8;2;3;60
5312;62;2;2;1;6;4;1;60
5313;182;5;3;2;13;2;1;30
5316;253;5;3;1;10;2;1;60
5317;227;6;1;1;5;3;1;120
5323;184;2;1;1;1;2;2;60
5328;559;3;4;2;3;4;1;60
5335;312;4;1;2;13;2;1;120
5337;236;2;1;1;8;2;1;60
5339;738;6;2;2;6;2;2;60
5340;66;2;2;1;8;3;2;60
5343;1382;6;1;2;12;3;1;60
5346;467;4;1;1;5;3;1;60
5347;241;2;1;1;12;3;2;60
5349;417;5;2;2;5;2;1;30
5351;530;5;2;2;3;3;2;60
5352;238;5;2;2;2;4;1;60
5354;208;7;4;1;10;3;1;30
5355;421;3;3;2;2;4;1;60
5356;421;5;3;2;2;4;1;60
5357;1234;6;4;2;2;4;2;60
5359;298;4;3;2;12;3;1;90
5361;207;5;3;2;10;3;1;60
5362;1206;4;2;2;6;2;1;60
5365;311;2;3;1;6;3;1;60
5367;181;2;1;1;13;3;2;60
5369;1059;6;3;1;5;2;1;60
5373;136;7;4;2;1;3;2;30
5374;972;3;3;1;3;2;1;30
5375;351;2;4;1;5;3;2;120
5376;99;2;1;1;10;3;2;60
5379;751;6;2;1;1;3;1;120
5380;370;6;1;2;4;3;1;120
5384;156;5;2;2;8;2;1;30
5385;340;3;4;2;4;2;1;60
5386;954;6;2;2;6;3;1;60
5387;1381;4;2;1;13;3;2;60
5389;391;2;3;1;12;3;1;120
5392;212;7;2;1;13;2;1;30
5393;542;3;4;2;10;3;1;120
5394;542;6;4;2;10;3;1;120
5395;387;2;1;1;4;4;2;120
5397;317;4;1;2;11;3;1;120
5398;484;2;2;1;7;3;1;120
5401;360;6;2;2;7;3;1;60
5402;97;2;4;1;1;3;1;60
5403;184;2;2;1;3;3;1;90
5406;442;4;2;1;12;3;1;60
5408;273;2;4;1;12;4;2;60
5412;1098;4;2;2;5;3;2;60
5417;187;7;3;1;1;2;1;30
5418;627;3;4;2;5;3;1;60
5419;627;4;2;2;5;3;1;120
5420;1185;5;2;1;1;2;2;60
5424;226;3;3;2;2;4;1;60
5430;1086;6;4;2;4;3;1;120
5431;372;2;4;1;6;4;1;60
5434;141;5;2;2;10;3;1;30
5435;1004;6;4;2;4;3;1;60
5436;1682;6;2;1;12;3;1;60
5440;1199;4;2;1;5;3;1;120
5441;378;2;2;1;10;3;2;60
5443;346;2;2;1;6;2;1;60
5445;523;6;2;2;6;4;1;90
5447;491;5;2;1;13;4;1;30
5451;461;6;2;2;1;3;1;60
5455;326;2;1;1;1;4;2;150
5456;212;2;3;2;3;2;1;60
5457;599;2;1;1;10;3;1;60
5461;1846;6;4;2;13;2;2;60
5463;1845;3;4;2;2;4;1;60
5464;1845;4;2;2;2;4;1;60
5465;814;2;1;1;8;2;1;60
5471;1373;6;2;2;1;2;2;60
5472;219;1;2;2;13;3;1;120
5475;614;6;1;2;9;3;1;120
5476;1183;4;4;1;7;3;1;60
5478;238;7;3;1;1;4;2;30
5480;751;4;1;1;10;2;2;60
5482;332;3;3;1;7;3;1;60
5483;305;7;2;1;13;3;2;30
5485;1577;3;3;2;4;3;1;150
5486;1577;4;2;2;4;3;1;150
5491;676;3;3;1;11;2;2;120
5492;180;2;1;1;5;2;1;120
5495;415;7;2;1;1;3;1;30
5496;333;4;2;2;11;3;1;60
5498;970;4;2;1;1;3;2;120
5503;1002;6;4;2;11;2;2;60
5504;704;2;4;1;5;3;1;60
5505;825;4;2;2;4;2;1;60
5509;209;2;1;1;4;2;1;60
5510;542;5;4;1;12;2;1;60
5518;453;3;4;2;7;3;1;30
5523;900;4;2;1;13;2;1;60
5524;778;4;1;2;13;3;1;60
5526;1418;5;3;2;2;3;2;60
5527;360;6;1;2;2;3;1;120
5529;180;5;2;2;12;4;1;30
5530;312;5;4;2;5;3;1;60
5531;713;6;3;2;3;2;1;60
5532;205;4;4;1;1;3;1;60
5534;1233;4;4;1;2;3;2;60
5536;400;5;2;2;7;4;2;30
5537;159;2;4;1;8;2;2;60
5540;123;7;2;2;13;3;1;30
5541;594;6;2;2;10;3;1;60
5542;577;2;1;1;4;2;2;60
5545;208;5;2;2;3;2;1;60
5547;237;2;1;1;12;3;1;60
5548;708;6;1;2;11;2;2;120
5550;221;2;1;1;6;2;1;60
5552;234;4;2;1;12;3;1;120
5554;124;7;3;1;3;3;2;30
5555;834;6;1;2;1;2;2;60
5557;507;2;4;1;1;3;1;180
5559;89;2;1;2;5;2;2;60
5560;252;2;1;1;8;3;1;60
5562;232;7;3;1;4;2;2;30
5564;854;3;4;2;2;4;3;30
5565;543;4;2;1;3;3;1;90
5567;948;2;1;1;13;2;1;60
5569;358;4;4;2;11;3;1;60
5572;213;4;2;2;10;3;1;60
5573;447;3;3;1;2;3;1;60
5576;353;2;1;1;12;2;1;60
5579;254;7;2;1;3;3;1;30
5586;1338;2;2;1;8;3;1;120
5587;126;2;1;1;10;3;1;60
5588;336;2;4;1;11;2;2;60
5590;90;2;3;1;12;3;1;120
5591;547;6;3;2;4;3;1;90
5594;674;6;4;2;4;2;1;90
5595;275;4;4;1;12;2;1;60
5597;324;4;1;1;13;3;1;120
5603;315;7;2;1;1;3;2;30
5604;1147;3;4;2;8;2;2;60
5605;1147;4;2;2;8;2;2;60
5609;298;2;4;1;6;3;1;60
5610;227;1;2;2;4;4;1;120
5616;90;2;2;1;2;4;2;90
5618;266;3;4;1;1;3;1;60
5621;450;2;1;1;6;3;2;60
5622;134;2;2;1;6;2;1;60
5624;82;2;2;2;3;3;1;60
5625;279;2;1;1;5;3;1;60
5628;552;2;1;1;1;3;1;120
5629;132;7;4;1;4;2;1;30
5633;675;6;1;2;9;2;1;60
5634;576;2;1;1;3;2;1;60
5636;539;6;4;1;4;3;1;120
5638;331;4;2;2;9;3;1;60
5639;251;3;3;1;13;3;1;60
5640;188;5;3;2;10;2;1;120
5643;402;2;4;1;3;4;2;60
5644;281;4;1;1;13;4;1;90
5647;1305;4;2;1;1;3;1;60
5649;1287;4;1;2;1;2;2;60
5656;672;6;4;2;3;2;1;60
5658;728;2;1;2;6;2;2;120
5662;249;2;2;1;1;2;2;60
5664;175;2;2;1;6;3;1;120
5668;710;6;1;1;11;3;1;120
5669;214;7;4;1;5;2;1;30
5670;254;6;1;2;10;3;1;180
5672;366;6;1;1;5;3;2;90
5675;677;2;2;1;5;2;1;60
5676;586;6;1;2;11;3;1;150
5681;1637;3;3;2;10;2;1;60
5682;1637;4;1;2;10;2;1;60
5685;362;4;2;2;10;4;1;60
5687;736;3;3;2;7;3;2;60
5695;705;6;2;2;4;3;1;60
5696;196;2;4;1;8;3;1;120
5698;307;2;4;1;12;4;2;120
5701;194;2;1;1;6;3;1;60
5702;639;3;4;2;9;4;1;60
5703;132;7;2;2;10;2;1;30
5704;58;2;1;1;13;3;1;120
5706;177;4;2;2;2;2;1;60
5709;250;2;2;1;1;2;1;60
5710;152;2;2;1;11;2;1;60
5711;694;3;3;2;2;3;2;60
5712;694;5;2;2;2;3;2;60
5714;745;6;2;2;8;3;1;60
5715;1374;3;4;2;11;2;2;60
5716;1374;6;2;2;11;2;2;60
5718;996;6;2;2;11;2;1;90
5719;541;4;1;1;3;3;1;120
5721;739;6;1;2;9;4;1;90
5722;559;4;1;2;13;3;1;60
5723;120;2;1;1;13;3;1;60
5724;517;5;4;2;2;2;1;60
5725;529;4;1;1;7;1;1;60
5726;402;3;3;2;8;2;1;60
5728;247;2;1;1;4;3;1;60
5729;557;6;2;1;2;2;1;60
5732;688;3;3;2;10;2;1;60
5733;688;5;3;2;10;2;1;60
5735;555;4;1;2;7;4;2;60
5738;394;2;4;1;1;3;2;60
5739;394;7;2;1;1;3;2;30
5741;102;2;1;1;10;3;1;150
5742;54;2;1;1;1;3;1;60
5744;165;3;3;2;2;2;1;30
5745;101;2;1;1;6;4;2;60
5749;297;6;4;2;7;4;1;60
5751;1002;6;3;1;2;4;1;60
5753;304;3;3;2;1;3;1;60
5759;1337;4;2;2;2;3;1;75
5761;1011;2;2;1;2;3;2;60
5762;216;7;4;2;8;3;1;30
5763;265;6;3;2;3;2;1;90
5764;373;6;3;1;6;3;1;60
5766;215;2;2;1;1;2;1;60
5767;1056;3;4;2;6;3;1;60
5768;1056;4;2;2;6;3;1;60
5769;350;2;1;1;9;2;1;90
5771;291;6;1;2;3;3;1;60
5772;205;2;1;1;11;3;1;120
5773;233;2;3;1;12;3;2;120
5774;901;6;2;1;10;3;1;150
5775;184;2;1;1;11;3;1;60
5776;220;2;1;1;10;3;1;60
5777;1304;3;3;1;7;2;2;40
5781;151;7;3;1;5;2;2;30
5782;212;2;1;1;4;2;1;120
5784;573;6;3;2;10;3;1;60
5785;618;4;4;2;5;4;1;60
5786;883;2;2;1;4;2;1;60
5790;921;4;1;2;7;2;1;60
5791;287;3;3;2;4;4;1;150
5793;430;6;1;1;3;3;1;120
5794;585;4;1;2;7;2;1;120
5797;286;2;2;1;1;2;2;60
5799;55;7;3;1;5;2;1;30
5802;248;1;4;1;2;4;1;60
5803;1586;6;1;1;10;2;1;60
5804;272;3;3;2;1;3;1;60
5805;153;2;1;1;6;2;1;150
5806;612;2;1;1;11;2;2;60
5809;342;6;2;2;11;2;1;60
5811;126;3;4;1;10;3;1;120
5812;125;2;3;2;1;2;1;60
5813;168;7;2;1;5;2;1;30
5814;777;4;1;1;2;3;1;60
5823;164;2;2;1;1;2;1;60
5826;244;6;1;2;5;3;1;60
5827;54;3;4;1;10;2;1;60
5828;580;6;1;2;8;2;1;120
5830;196;3;3;1;5;2;1;60
5831;412;4;2;1;2;4;1;60
5832;412;2;2;1;8;2;1;60
5836;99;2;1;1;5;2;1;60
5838;668;5;2;2;2;4;1;30
5839;569;2;3;1;4;3;1;60
5842;358;6;1;2;3;2;1;150
5846;736;2;2;1;1;2;1;120
5847;80;2;2;1;11;3;2;60
5850;372;2;4;1;5;2;1;120
5852;1526;5;4;2;8;2;2;90
5853;757;6;1;2;6;3;1;60
5854;1090;6;1;2;13;4;1;120
5856;602;4;2;1;10;4;1;60
5857;952;6;1;2;8;2;1;60
5860;396;2;2;1;6;2;2;60
5864;814;3;3;1;8;3;1;30
5872;287;2;1;2;9;2;1;60
5875;1193;4;2;2;8;2;1;90
5877;193;3;3;2;3;3;1;60
5880;824;2;1;1;9;2;1;120
5881;1134;3;4;2;3;4;1;120
5882;1134;6;4;2;3;4;1;120
5885;88;7;2;1;10;2;1;30
5888;196;3;4;2;8;4;1;60
5889;737;3;3;2;4;3;1;60
5890;803;2;2;1;8;4;2;120
5893;377;4;1;2;1;3;1;60
5894;969;2;1;1;13;3;1;60
5895;94;2;2;1;10;2;1;120
